lat,lon,distrito,nome,empreendedor,mina,risco,dano_potencial,nivel_emergencia,situacao,metodo_construtivo,altura_m,volume_m3,populacao_jusante,pessoas_jusante,minerio
-20.064805555555555,-44.029222222222224,Brumadinho,Barragem B1,MINERACAO GERAL DO BRASIL S/A,Mina de Casa Branca,Baixa,Baixa,Sem emergência,Em Descaracterização,Alteamento a montante,"47,00","471.730,00",Inexistente (Não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a jusante da barragem),,Minério de Ferro
-20.066305555555555,-44.02719444444444,Brumadinho,Barragem B2,MINERACAO GERAL DO BRASIL S/A,Mina de Casa Branca,Baixa,Baixa,Sem emergência,Em Descaracterização,Alteamento a montante,"25,50","299.970,00",Inexistente (Não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a jusante da barragem),,Minério de Ferro
-20.067444444444444,-44.02302777777778,Brumadinho,Barragem B3,MINERACAO GERAL DO BRASIL S/A,Mina de Casa Branca,Média,Baixa,Sem emergência,Inativa,Etapa única,"10,00","20.000,00",Inexistente (Não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a jusante da barragem),,
-20.108272777777778,-44.07366777777778,Brumadinho,Capim Branco,VALE S.A.,Mina Jangada,Baixa,Média,Sem emergência,Inativa,Alteamento a jusante,"23,31","450.329,50","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",,
-20.129869444444445,-44.10256388888889,Brumadinho,Dique - Pilha 2,Mib Mineração Ibirité Ltda,,Baixa,Baixa,Sem emergência,Ativa,Etapa única,"2,00","250,00","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",,
-20.123088055555556,-44.10646972222222,Brumadinho,Dique - Pilha 4,Mib Mineração Ibirité Ltda,,Baixa,Baixa,Sem emergência,Ativa,Etapa única,"8,00","183,00","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",,
-20.11963888888889,-44.13922222222222,Brumadinho,Menezes I,VALE S.A.,Mina Córrego do Feijão,Baixa,Baixa,Sem emergência,Em Descaracterização,Etapa única,"16,13","15.127,58","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",,
-20.128083333333333,-44.13827777777778,Brumadinho,Menezes II,VALE S.A.,Mina Córrego do Feijão,Baixa,Alta,Sem emergência,Em Descaracterização,Etapa única,"19,25","193.349,52","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,
-20.119055555555555,-44.12441666666667,Brumadinho,VI,VALE S.A.,Mina Córrego do Feijão,Baixa,Alta,Sem emergência,Em Descaracterização,Etapa única,"45,15","362.409,70","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,Minério de Ferro
-20.104277777777778,-44.11966666666667,Brumadinho,VII,VALE S.A.,Mina Córrego do Feijão,Baixa,Média,Sem emergência,Em Descaracterização,Etapa única,"19,03","5.304,97","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",,
-20.126991944444445,-44.31611083333333,Conceição de Itaguá,Barragem Quéias,EMICON MINERACAO E TERRAPLENAGEM LIMITADA,Mina do Queias,Alta,Alta,Emergência Nivel 1,Inativa,Alteamento por linha de centro,"15,00","75.000,00","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,
-20.11936111111111,-44.31594444444444,Conceição de Itaguá,Dique B3,EMICON MINERACAO E TERRAPLENAGEM LIMITADA,Mina do Queias,Alta,Alta,Emergência Nivel 1,Inativa,Alteamento a jusante,"23,50","15.431,00","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,
-20.117583333333332,-44.317194444444446,Conceição de Itaguá,Dique B4,EMICON MINERACAO E TERRAPLENAGEM LIMITADA,Mina do Queias,Alta,Alta,Emergência Nivel 1,Inativa,Alteamento a jusante,"25,00","5.431,00","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,
-20.122972222222224,-44.31258333333333,Conceição de Itaguá,Barragem B1A,EMICON MINERACAO E TERRAPLENAGEM LIMITADA,Mina do Queias,Alta,Alta,Emergência Nivel 2,Inativa,Alteamento por linha de centro,"37,00","914.500,00","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,Minério de Ferro
-20.119805555555555,-44.307472222222216,Conceição de Itaguá,Barragem B1 - Mina Ipê,MINERACAO MORRO DO IPE S.A.,,Baixa,Alta,Sem emergência,Em Descaracterização,Alteamento a montante,"55,00","581.459,00","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,Minério de Ferro
-20.1216,-44.31937222222223,Conceição de Itaguá,Dique 03,MINERACAO COMISA LTDA,,Média,Baixa,Sem emergência,Ativa,Etapa única,"5,00","900,00","Pouco Frequente (Não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe estrada vicinal de uso local)",,
-20.1159,-44.29810277777778,Conceição de Itaguá,Dique Conquistinha,MINERACAO MORRO DO IPE S.A.,,Média,Baixa,Sem emergência,Ativa,Etapa única,"5,00","30,00",Inexistente (Não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a jusante da barragem),,
-20.126694444444446,-44.31613888888889,Conceição de Itaguá,Dique Quéias - Captação de Água,MINERACAO COMISA LTDA,,Média,Baixa,Sem emergência,Ativa,Etapa única,"5,00","1.200,00",Inexistente (Não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a jusante da barragem),,
-20.16186111111111,-44.00622222222222,Piedade do Paraopeba,Santa Bárbara,VALLOUREC TUBOS DO BRASIL LTDA.,Mina Pau Branco,Baixa,Alta,Sem emergência,Ativa,Alteamento a jusante,"37,73","776.484,05","Existente (Existem pessoas ocupando permanentemente a área afetada a jusante da barragem, portanto, vidas humanas poderão ser atingidas)",,
