codigo_cnes,estabelecimento,distrito,distrito_atendido,tipo_equipe,NO_REFERENCIA,populacoes_assistidas,DT_ATIVACAO
2124254,UNIDADE DE SAUDE DA FAMILIA ARANHA,Aranha,Aranha,ESF - EQUIPE DE SAUDE DA FAMILIA,ARANHA,Geral,17/01/2008
2124203,UNIDADE DE SAUDE DA FAMILIA CENTRO,Brumadinho,Brumadinho,ESB - EQUIPE DE SAUDE BUCAL,CENTRO,Geral,01/05/2020
9838775,UNIDADE DE SAUDE DA FAMILIA CASA BRANCA II,Brumadinho,Brumadinho,ESB - EQUIPE DE SAUDE BUCAL,CASA BRANCA II,Geral,26/08/2025
5678129,UNIDADE DE SAUDE DA FAMILIA PALHANO,Piedade do Paraopeba,Piedade do Paraopeba,ESB - EQUIPE DE SAUDE BUCAL,SUZANA,Geral,01/09/2023
9838775,UNIDADE DE SAUDE DA FAMILIA CASA BRANCA II,Brumadinho,Brumadinho,EAP - EQUIPE DE ATENCAO PRIMARIA,CORREGO DO FEIJAO,Geral,01/09/2023
2124203,UNIDADE DE SAUDE DA FAMILIA CENTRO,Brumadinho,Brumadinho,EMULTI - EQUIPE MULTIPROFISSIONAL NA AT. PRIMARIA A SAUDE,EMULTI CENTRO,Geral,01/08/2008
2124327,UNIDADE DE SAUDE DA FAMILIA SANTA EFIGENIA,Brumadinho,Brumadinho,ESF - EQUIPE DE SAUDE DA FAMILIA,SANTA EFIGENIA,Geral,01/01/2001
2124254,UNIDADE DE SAUDE DA FAMILIA ARANHA,Aranha,Aranha,ESB - EQUIPE DE SAUDE BUCAL,ARANHA,Geral,01/05/2020
2124246,UNIDADE DE SAUDE DA FAMILIA CONCEICAO DE ITAGUA,Conceição de Itaguá,Conceição de Itaguá,ESB - EQUIPE DE SAUDE BUCAL,CONCEICAO DE ITAGUA,Geral,01/05/2020
2124289,COMPLEXO HOSPITALAR DE BRUMADINHO,Brumadinho,Brumadinho,EMAD I - EQUIPE MULTIPROFISSIONAL DE ATENCAO DOMICILIAR I,EMAD,Geral,01/01/2020
