codigo_cnes,nome_fantasia,nome_razao_social,codigo_tipo_unidade,bairro_estabelecimento,endereco_estabelecimento,numero_telefone_estabelecimento,descricao_turno_atendimento,descricao_esfera_administrativa,estabelecimento_faz_atendimento_ambulatorial_sus,estabelecimento_possui_atendimento_hospitalar,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,descricao_tipo_unidade,distrito
9913459,GRUPO LIVE MED,SERMEP SERVICOS MEDICOS S A,60,CENTRO,RUA PRESIDENTE VARGAS,31-36435316,,MUNICIPAL,NAO,,-20.1454882,-44.200745,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE,Brumadinho
8044171,ESPACO GABRIELA RIOS,GABRIELA RIOS SERVICOS FONOAUDIOLOGICOS,22,LOURDES,LISIO PACIFICO HOMEM DE ANDRADE,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.144178,-44.200191,CONSULTORIO ISOLADO,Brumadinho
8056161,KATRINE ARRUDA CARNEIRO PSICOLOGIA,KATRINE ARRUDA CARNEIRO PSICOLOGIA,22,CENTRO,RUA PRESIDENTE VARGAS,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1422873,-44.2010623,CONSULTORIO ISOLADO,Brumadinho
9806644,LABORATORIO JOAO PAULO BRUMADINHO,LABORATORIO JOAO PAULO DE ANALISES CLINICAS LTDA EPP,39,CENTRO,RUA DR VOCTOR DE FREITAS,35322264,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.142459134042006,-44.200379848480225,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Brumadinho
9838775,UNIDADE DE SAUDE DA FAMILIA CASA BRANCA II,MUNICIPIO DE BRUMADINHO,2,CASA BRANCA,RUA UM,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.1606575,-44.1705239,CENTRO DE SAUDE/UNIDADE BASICA,Brumadinho
9971009,OBJETIVO SAUDE,OBJETIVO SAUDE LTDA,22,CENTRO,RUA QUINTINO BOCAIUVA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.141378,-44.2067259,CONSULTORIO ISOLADO,Brumadinho
5848784,AUGE CENTRO DE INFUSOES E ATENDIMENTO MEDICO LTDA,AUGE CENTRO DE INFUSOES E ATENDIMENTO MEDICO LTDA,22,CENTRO,BARAO DO RIO BRANCO,31 25511510,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1433762,-44.2028688,CONSULTORIO ISOLADO,Brumadinho
9624023,EXCELENCIA EM ODONTOLOGIA,ODONTOLOGIA RIVA E CAVALCANTI LTDA,22,CENTRO,RUA BARAO DO RIO BRANCO,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1427245,-44.1999929,CONSULTORIO ISOLADO,Brumadinho
2124238,UNIDADE DE SAUDE DA FAMILIA PROGRESSO,PREFEITURA MUNICIPAL DE BRUMADINHO,2,PROGRESSO,RUA COLETORA,(31)35717023,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.1414584,-44.2184642,CENTRO DE SAUDE/UNIDADE BASICA,Conceição de Itaguá
2124254,UNIDADE DE SAUDE DA FAMILIA ARANHA,PREFEITURA MUNICIPAL DE BRUMADINHO,2,ARANHA,PRACA PADRE AGOSTINHO,(31)35791026,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.1967293,-44.1049382,CENTRO DE SAUDE/UNIDADE BASICA,Aranha
