codigo_cnes,distrito,ocupacao,CO_CBO,CO_PROFISSIONAL_SUS
2124203,Brumadinho,Medico Da Estrategia De Saude Da Familia,225142,2107D051BC69726D
2124203,Brumadinho,Medico Da Estrategia De Saude Da Familia,225142,217421D9DBC70D51
2124203,Brumadinho,Medico Clinico,225125,60B7E49E7F41CD27
2124203,Brumadinho,Medico Pediatra,225124,7B5216F1031CFB25
2124203,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,0DB52D62EED04E80
2124203,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,61E8693D268C01E8
2124203,Brumadinho,Atendente De Farmacia  Balconista,521130,69A3E70A66B7A436
2124203,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,76C5E45826107851
2124203,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,46A2C78A5C4E3445
2124203,Brumadinho,Assistente Administrativo,411010,F4233EE77635669E
2124203,Brumadinho,Cirurgiaodentista Da Estrategia De Saude Da Familia,223293,BF30C880F39E710B
2124203,Brumadinho,Auxiliar Em Saude Bucal Da Estrategia De Saude Da Familia,322430,6AC8692C4F5D7866
2124203,Brumadinho,Agente Comunitario De Saude,515105,9017F951C2197848
2124203,Brumadinho,Agente Comunitario De Saude,515105,A7F33CEEB69BFA8F
2124203,Brumadinho,Agente Comunitario De Saude,515105,B2CA2C3026280C14
2124203,Brumadinho,Fisioterapeuta Geral,223605,D1E01657CF61EDDA
2124203,Brumadinho,Fisioterapeuta Geral,223605,80FD25C227B1DC70
2124203,Brumadinho,Enfermeiro Da Estrategia De Saude Da Familia,223565,1EEE5E7F029C55E8
2124203,Brumadinho,Agente Comunitario De Saude,515105,7E5B7D01B81079FC
2124203,Brumadinho,Agente Comunitario De Saude,515105,4FF97B1164BD72B6
2124203,Brumadinho,Assistente Administrativo,411010,39C3A285CF468DDD
2124203,Brumadinho,Agente Comunitario De Saude,515105,CB2C801F94697D4A
2124203,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,31231309015EB14E
2124203,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,1EE8D8DEDEFD876D
2124203,Brumadinho,Fonoaudiologo Geral,223810,7B33F3A1D230F493
2124203,Brumadinho,Fisioterapeuta Geral,223605,BAEC3803D9B0C5D8
2124203,Brumadinho,Agente De Combate As Endemias,515140,CEA2AD3CDB1A9542
2124203,Brumadinho,Profissional De Educacao Fisica Na Saude,224140,D5B3038F65543B52
2124203,Brumadinho,Enfermeiro Da Estrategia De Saude Da Familia,223565,5F4C2062933CD45B
2124203,Brumadinho,Profissional De Educacao Fisica Na Saude,224140,C17E33D74C5CE6FE
2124203,Brumadinho,Fisioterapeuta Geral,223605,2DBBB22A8F71C830
2124203,Brumadinho,Fisioterapeuta Geral,223605,8678CE1FFECA89ED
2124203,Brumadinho,Fisioterapeuta Geral,223605,2CB6D4119D845894
2124203,Brumadinho,Fisioterapeuta Geral,223605,EADF4B7A4D32DA10
2124203,Brumadinho,Enfermeiro Da Estrategia De Saude Da Familia,223565,255253D10294F5E6
2124211,Brumadinho,Agente De Combate As Endemias,515140,91094EFFD615E701
2124211,Brumadinho,Cirurgiaodentista Da Estrategia De Saude Da Familia,223293,80BDECB7D58649D3
2124211,Brumadinho,Auxiliar Em Saude Bucal Da Estrategia De Saude Da Familia,322430,D3BBE99837905847
2124211,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,83C76FDBD25361FE
2124211,Brumadinho,Agente Comunitario De Saude,515105,EAB22C0A8CAC45E7
2124211,Brumadinho,Agente Comunitario De Saude,515105,94EC7586AF47444D
2124211,Brumadinho,Tecnico De Enfermagem Da Estrategia De Saude Da Familia,322245,D59A933371E25B90
2124211,Brumadinho,Agente Comunitario De Saude,515105,7C89723107DF35AE
2124211,Brumadinho,Agente Comunitario De Saude,515105,423FEAA3D8B37724
2124211,Brumadinho,Agente Comunitario De Saude,515105,E947C572CC5079EB
2124211,Brumadinho,Agente Comunitario De Saude,515105,0202D4AC574B5DE9
2124211,Brumadinho,Assistente Administrativo,411010,657D2303639D4D39
2124211,Brumadinho,Atendente De Farmacia  Balconista,521130,C07BD55596707190
2124211,Brumadinho,Agente Comunitario De Saude,515105,A606716A5F429641
2124211,Brumadinho,Assistente Administrativo,411010,501ACB251EEE591C
2124211,Brumadinho,Enfermeiro Da Estrategia De Saude Da Familia,223565,7F7E2CA92DD47302
2124211,Brumadinho,Medico Da Estrategia De Saude Da Familia,225142,301A699726F1A4CE
