Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,BrAm - Total,01113,1,011,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01211,2,012,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01512,30,015,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01521,13,015,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01547,5,015,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01555,3,015,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01610,13,016,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,01628,4,016,01,A
310900,Município,2024,Número de Empregos,BrAm - Total,02306,9,023,02,A
310900,Município,2024,Número de Empregos,BrAm - Total,07103,951,071,07,B
310900,Município,2024,Número de Empregos,BrAm - Total,08100,9,081,08,B
310900,Município,2024,Número de Empregos,BrAm - Total,09904,57,099,09,B
310900,Município,2024,Número de Empregos,BrAm - Total,10121,50,101,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,10139,1,101,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,10538,4,105,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,10643,1,106,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,10911,18,109,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,10945,4,109,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,10953,1,109,10,C
310900,Município,2024,Número de Empregos,BrAm - Total,11135,1,111,11,C
310900,Município,2024,Número de Empregos,BrAm - Total,11216,33,112,11,C
310900,Município,2024,Número de Empregos,BrAm - Total,14126,4,141,14,C
310900,Município,2024,Número de Empregos,BrAm - Total,14134,21,141,14,C
310900,Município,2024,Número de Empregos,BrAm - Total,16226,3,162,16,C
310900,Município,2024,Número de Empregos,BrAm - Total,18300,1,183,18,C
