Ano,secao,vinculos
2018,A,235
2018,B,1888
2018,C,548
2018,E,5
2018,F,979
2018,G,1093
2018,H,500
2018,I,427
2018,J,71
2018,K,56
2018,L,47
2018,M,115
2018,N,413
2018,O,2104
2018,P,236
2018,Q,95
2018,R,465
2018,S,167
2019,A,194
2019,B,2044
2019,C,533
2019,E,6
2019,F,1624
2019,G,1159
2019,H,515
2019,I,509
2019,J,56
2019,K,69
2019,L,56
2019,M,131
2019,N,379
2019,O,2412
2019,P,245
2019,Q,120
2019,R,489
2019,S,178
2019,T,2
2020,A,172
2020,B,1963
2020,C,567
2020,E,5
2020,F,1333
2020,G,1173
2020,H,599
2020,I,447
2020,J,77
2020,K,52
2020,L,93
2020,M,244
2020,N,382
2020,O,1889
2020,P,220
2020,Q,135
2020,R,393
2020,S,188
2020,T,1
2022,A,222
2022,B,2433
2022,C,527
2022,E,9
2022,F,3278
2022,G,1442
2022,H,636
2022,I,654
2022,J,41
2022,K,67
2022,L,143
2022,M,223
2022,N,518
2022,O,2709
2022,P,240
2022,Q,188
2022,R,505
2022,S,235
2024,A,248
2024,B,2767
2024,C,529
2024,E,8
2024,F,1649
2024,G,1421
2024,H,971
2024,I,630
2024,J,12
2024,K,65
2024,L,26
2024,M,216
2024,N,500
2024,O,1955
2024,P,238
2024,Q,294
2024,R,571
2024,S,290
