Nível Regional,Código IBGE,Ano,Indicador,Tipo de Abertura,Abertura,Sexo e Raça/Cor,Valor
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Homem - BrAm,325
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Homem - BrAm,283
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Homem - BrAm,1389
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Homem - BrAm,495
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Homem - BrAm,0.2137
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Homem - BrAm,0.2286
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Homem - BrAm,0.2061
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Homem - BrAm,0.2062
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Homem - PPI,815
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Homem - PPI,696
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Homem - PPI,2973
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Homem - PPI,531
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Homem - PPI,0.5358
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Homem - PPI,0.5622
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Homem - PPI,0.441
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Homem - PPI,0.2212
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Homem - Total,1208
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Homem - Total,1028
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Homem - Total,4584
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Homem - Total,1047
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Homem - Total,0.7541
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Homem - Total,0.7951
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Homem - Total,0.6506
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Homem - Total,0.4275
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Mulher - BrAm,113
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Mulher - BrAm,78
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Mulher - BrAm,914
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Mulher - BrAm,770
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Mulher - BrAm,0.0743
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Mulher - BrAm,0.063
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Mulher - BrAm,0.1356
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Mulher - BrAm,0.3207
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Mulher - PPI,268
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Mulher - PPI,181
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Mulher - PPI,1465
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Mulher - PPI,605
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Mulher - PPI,0.1762
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Mulher - PPI,0.1462
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Mulher - PPI,0.2173
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Mulher - PPI,0.252
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Mulher - Total,394
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Mulher - Total,265
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Mulher - Total,2462
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Mulher - Total,1402
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Mulher - Total,0.2459
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Mulher - Total,0.2049
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Mulher - Total,0.3494
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Mulher - Total,0.5725
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Total - BrAm,438
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Total - BrAm,361
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Total - BrAm,2303
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Total - BrAm,1265
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Total - BrAm,0.288
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Total - BrAm,0.2916
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Total - BrAm,0.3416
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Total - BrAm,0.5269
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Completo,Total - PPI,1083
Município,310900,2024,Número de Vínculos,Escolaridade,Fundamental Incompleto,Total - PPI,877
Município,310900,2024,Número de Vínculos,Escolaridade,Médio Completo,Total - PPI,4438
Município,310900,2024,Número de Vínculos,Escolaridade,Superior Completo,Total - PPI,1136
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Completo,Total - PPI,0.712
Município,310900,2024,Percentual de Vínculos,Escolaridade,Fundamental Incompleto,Total - PPI,0.7084
Município,310900,2024,Percentual de Vínculos,Escolaridade,Médio Completo,Total - PPI,0.6584
Município,310900,2024,Percentual de Vínculos,Escolaridade,Superior Completo,Total - PPI,0.4731
