Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito),Desvio Padrão
310900,Município,2024,Média do Salário Real,BrAm - Total,01211,1412,012,01,A,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,01512,2133.456153846154,015,01,A,748.2855182085348
310900,Município,2024,Média do Salário Real,BrAm - Total,01521,2023.0900000000001,015,01,A,687.4231353395083
310900,Município,2024,Média do Salário Real,BrAm - Total,01547,2561.1775,015,01,A,966.6235251422
310900,Município,2024,Média do Salário Real,BrAm - Total,01610,2119.501111111111,016,01,A,465.4165422619946
310900,Município,2024,Média do Salário Real,BrAm - Total,01628,2148.2425000000003,016,01,A,310.9185422126939
310900,Município,2024,Média do Salário Real,BrAm - Total,02306,3980,023,02,A,1597.53513046662
310900,Município,2024,Média do Salário Real,BrAm - Total,07103,7807.921661202175,071,07,B,7060.886918883184
310900,Município,2024,Média do Salário Real,BrAm - Total,08100,3055.33,081,08,B,870.4225458772472
310900,Município,2024,Média do Salário Real,BrAm - Total,09904,3752.277407407408,099,09,B,2307.0059439342303
310900,Município,2024,Média do Salário Real,BrAm - Total,10121,2043.052244897959,101,10,C,686.8007174915725
310900,Município,2024,Média do Salário Real,BrAm - Total,10538,1884,105,10,C,722.0304702711652
310900,Município,2024,Média do Salário Real,BrAm - Total,10643,1412,106,10,C,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,10911,1754.9683333333335,109,10,C,233.61389240420274
310900,Município,2024,Média do Salário Real,BrAm - Total,10945,1908.0275,109,10,C,345.75070704916857
310900,Município,2024,Média do Salário Real,BrAm - Total,10953,1500,109,10,C,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,11135,2000,111,11,C,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,11216,2778.824482758621,112,11,C,2060.28997346349
310900,Município,2024,Média do Salário Real,BrAm - Total,14126,1750,141,14,C,0
310900,Município,2024,Média do Salário Real,BrAm - Total,14134,2352.89,141,14,C,918.9461806490148
310900,Município,2024,Média do Salário Real,BrAm - Total,16226,1791.3866666666665,162,16,C,370.34744839587233
310900,Município,2024,Média do Salário Real,BrAm - Total,18300,1412,183,18,C,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,23303,1605.9350000000002,233,23,C,170.74252367234124
310900,Município,2024,Média do Salário Real,BrAm - Total,23915,2648,239,23,C,152.4204710660612
310900,Município,2024,Média do Salário Real,BrAm - Total,24512,3336.692222222222,245,24,C,2573.175967247371
310900,Município,2024,Média do Salário Real,BrAm - Total,25128,3593.5950000000003,251,25,C,784.0046436405848
310900,Município,2024,Média do Salário Real,BrAm - Total,28402,1460.14,284,28,C,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,32507,1412,325,32,C,NA
310900,Município,2024,Média do Salário Real,BrAm - Total,38114,2544.755,381,38,E,112.62089703958141
310900,Município,2024,Média do Salário Real,BrAm - Total,41107,2064.3900000000003,411,41,F,24.975011511508974
310900,Município,2024,Média do Salário Real,BrAm - Total,41204,3916.0324999999984,412,41,F,3092.428020350958
310900,Município,2024,Média do Salário Real,BrAm - Total,42111,4099.561151079139,421,42,F,3537.5422142732564
310900,Município,2024,Média do Salário Real,BrAm - Total,42120,4430.719285714286,421,42,F,2701.6844545249346
310900,Município,2024,Média do Salário Real,BrAm - Total,42138,8156.7,421,42,F,6387.578397170558
310900,Município,2024,Média do Salário Real,BrAm - Total,42995,3628.347333333333,429,42,F,2516.640987936859
310900,Município,2024,Média do Salário Real,BrAm - Total,43291,9121.660000000002,432,43,F,6167.510169165511
310900,Município,2024,Média do Salário Real,BrAm - Total,43304,2590.663636363636,433,43,F,889.9772588361203
