Código IBGE,Nível Regional,Ano,Indicador,Tipo de Abertura,Abertura,Sexo e Raça/Cor,Valor
310900,Município,2024,Coeficiente de Variação do Salário Real,Sexo e Raça/Cor,Homem - BrAm,Homem - BrAm,103.08
310900,Município,2024,Coeficiente de Variação do Salário Real,Sexo e Raça/Cor,Homem - PPI,Homem - PPI,85.28
310900,Município,2024,Coeficiente de Variação do Salário Real,Sexo e Raça/Cor,Homem - Total,Homem - Total,95.38
310900,Município,2024,Coeficiente de Variação do Salário Real,Sexo e Raça/Cor,Mulher - BrAm,Mulher - BrAm,87.4
310900,Município,2024,Coeficiente de Variação do Salário Real,Sexo e Raça/Cor,Mulher - PPI,Mulher - PPI,80.63
310900,Município,2024,Coeficiente de Variação do Salário Real,Sexo e Raça/Cor,Mulher - Total,Mulher - Total,87.43
310900,Município,2024,desvio padrao do salario real,Sexo e Raça/Cor,Homem - BrAm,Homem - BrAm,5191.55
310900,Município,2024,desvio padrao do salario real,Sexo e Raça/Cor,Homem - PPI,Homem - PPI,3390.32
310900,Município,2024,desvio padrao do salario real,Sexo e Raça/Cor,Homem - Total,Homem - Total,4101.31
310900,Município,2024,desvio padrao do salario real,Sexo e Raça/Cor,Mulher - BrAm,Mulher - BrAm,3757.63
310900,Município,2024,desvio padrao do salario real,Sexo e Raça/Cor,Mulher - PPI,Mulher - PPI,2486.96
310900,Município,2024,desvio padrao do salario real,Sexo e Raça/Cor,Mulher - Total,Mulher - Total,3124.01
310900,Município,2024,Média do Salário Real,Sexo e Raça/Cor,Homem - BrAm,Homem - BrAm,5036.3
310900,Município,2024,Média do Salário Real,Sexo e Raça/Cor,Homem - PPI,Homem - PPI,3975.53
310900,Município,2024,Média do Salário Real,Sexo e Raça/Cor,Homem - Total,Homem - Total,4299.98
310900,Município,2024,Média do Salário Real,Sexo e Raça/Cor,Mulher - BrAm,Mulher - BrAm,4299.28
310900,Município,2024,Média do Salário Real,Sexo e Raça/Cor,Mulher - PPI,Mulher - PPI,3084.37
310900,Município,2024,Média do Salário Real,Sexo e Raça/Cor,Mulher - Total,Mulher - Total,3572.96
310900,Município,2024,mediana do salario real,Sexo e Raça/Cor,Homem - BrAm,Homem - BrAm,3567.93
310900,Município,2024,mediana do salario real,Sexo e Raça/Cor,Homem - PPI,Homem - PPI,3162.5
310900,Município,2024,mediana do salario real,Sexo e Raça/Cor,Homem - Total,Homem - Total,3261.88
310900,Município,2024,mediana do salario real,Sexo e Raça/Cor,Mulher - BrAm,Mulher - BrAm,3086.13
310900,Município,2024,mediana do salario real,Sexo e Raça/Cor,Mulher - PPI,Mulher - PPI,2225.16
310900,Município,2024,mediana do salario real,Sexo e Raça/Cor,Mulher - Total,Mulher - Total,2520.06
310900,Município,2024,soma do salario real,Sexo e Raça/Cor,Homem - BrAm,Homem - BrAm,11356847.06
310900,Município,2024,soma do salario real,Sexo e Raça/Cor,Homem - PPI,Homem - PPI,18263582.56
310900,Município,2024,soma do salario real,Sexo e Raça/Cor,Homem - Total,Homem - Total,30736265.59
310900,Município,2024,soma do salario real,Sexo e Raça/Cor,Mulher - BrAm,Mulher - BrAm,7450659.31
310900,Município,2024,soma do salario real,Sexo e Raça/Cor,Mulher - PPI,Mulher - PPI,7232840.21
310900,Município,2024,soma do salario real,Sexo e Raça/Cor,Mulher - Total,Mulher - Total,14977828.02
