aba_origem,variavel,variavel_num,tipo,tema,descricao
Dicionário Básico,V0001,1,,Básico,Total de pessoas
Dicionário Básico,V0002,2,,Básico,Total de Domicílios (DPPO + DPPV + DPPUO + DPIO + DCCM + DCSM)
Dicionário Básico,V0003,3,,Básico,Total de Domicílios Particulares (DPPO + DPPV + DPPUO + DPIO)
Dicionário Básico,V0004,4,,Básico,Total de Domicílios Coletivos (DCCM + DCSM)
Dicionário Básico,V0005,5,,Básico,Média de moradores em Domicílios Particulares Ocupados (Total pessoas em Domicílios Particulares Ocupados / DPPO + DPIO)
Dicionário Básico,V0006,6,,Básico,Percentual de Domicílios Particulares Ocupados Imputados (Total DPO imputados / Total DPO)
Dicionário Básico,V0007,7,,Básico,Total de Domicílios Particulares Ocupados (DPPO + DPIO)
Dicionário Básico,V0008,8,,Básico,Total de Domicílios Particulares  de Uso Ocasional (DPPUO)
Dicionário Básico,V0009,9,,Básico,Total de Domicílios Particulares Permanentes Vagos (DPPV)
Dicionário não PCT,V00001,1,Domicílio,Características do Domicílio - Parte 1,Domicílios Particulares Permanentes Ocupados
Dicionário não PCT,V00002,2,Domicílio,Características do Domicílio - Parte 1,Domicílios Particulares Improvisados Ocupados
Dicionário não PCT,V00003,3,Domicílio,Características do Domicílio - Parte 1,Unidades de Habitação em Domicílios Coletivos Com Morador
Dicionário não PCT,V00004,4,Domicílio,Características do Domicílio - Parte 1,Domicílios Particulares Permanentes Ocupados
Dicionário não PCT,V00005,5,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Quantidade de moradores"
Dicionário não PCT,V00006,6,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Quantidade de moradores"
Dicionário não PCT,V00007,7,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Quantidade de moradores"
Dicionário não PCT,V00008,8,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00009,9,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00010,10,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Quantidade de crianças de zero a nove anos de idade"
Dicionário não PCT,V00011,11,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Pessoas de sexo masculino no domicílio"
Dicionário não PCT,V00012,12,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Pessoas de sexo masculino no domicílio"
Dicionário não PCT,V00013,13,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Pessoas de sexo masculino no domicílio"
Dicionário não PCT,V00014,14,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Pessoas de sexo feminino no domicílio"
Dicionário não PCT,V00015,15,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Improvisados Ocupados, Pessoas de sexo feminino no domicílio"
Dicionário não PCT,V00016,16,Domicílio,Características do Domicílio - Parte 1,"Domicílios Coletivos Com Morador, Pessoas de sexo feminino no domicílio"
Dicionário não PCT,V00017,17,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 1 morador no domicílio"
Dicionário não PCT,V00018,18,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 2 moradores no domicílio"
Dicionário não PCT,V00019,19,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 3 moradores no domicílio"
Dicionário não PCT,V00020,20,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 4 moradores no domicílio"
Dicionário não PCT,V00021,21,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 5 moradores no domicílio"
Dicionário não PCT,V00022,22,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 6 moradores no domicílio"
Dicionário não PCT,V00023,23,Domicílio,Características do Domicílio - Parte 1,"Domicílios Particulares Permanentes Ocupados, Com 7 moradores no domicílio"
