CO_ENTIDADE,NO_ENTIDADE,CO_DISTRITO,NO_DISTRITO,TP_DEPENDENCIA,TP_LOCALIZACAO,TP_LOCALIZACAO_DIFERENCIADA,TP_SITUACAO_FUNCIONAMENTO,QT_SALAS_UTILIZADAS,IN_AGUA_POTAVEL,IN_AGUA_REDE_PUBLICA,IN_ENERGIA_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,IN_LIXO_SERVICO_COLETA,IN_INTERNET,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_ACESSIBILIDADE_INEXISTENTE,IN_ALIMENTACAO,IN_MATERIAL_PED_QUILOMBOLA,IN_MATERIAL_PED_INDIGENA,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,dependencia,localizacao,area_diferenciada,situacao,distrito
31008141,EE PAULINA ALUOTTO FERREIRA,310900605,Brumadinho,2,1,0.0,1,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,Estadual,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31008150,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA COELI AFONSO,310900605,Brumadinho,3,1,0.0,1,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,376.0,376.0,112.0,264.0,0.0,0.0,0.0,0.0,Municipal,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31008176,ESCOLA MUNICIPAL MARIA SOLANO MENEZES DINIZ,310900605,Brumadinho,3,2,0.0,1,11.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,369.0,114.0,60.0,54.0,255.0,146.0,109.0,0.0,Municipal,Rural,Não está em área diferenciada,Em atividade,Brumadinho
31008184,EE PADRE MACHADO,310900605,Brumadinho,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,Estadual,Urbana,Não está em área diferenciada,Paralisada,Brumadinho
31008192,EE PAULO NETO ALKIMIM,310900605,Brumadinho,2,1,0.0,1,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,315.0,0.0,0.0,0.0,25.0,25.0,0.0,282.0,Estadual,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31011533,ESCOLA MUNICIPAL NOSSA SENHORA DAS DORES,310900605,Brumadinho,3,2,0.0,1,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,33.0,14.0,7.0,7.0,19.0,19.0,0.0,0.0,Municipal,Rural,Não está em área diferenciada,Em atividade,Brumadinho
31011622,ESCOLA MUNICIPAL CARMELA CARUSO ALUOTTO,310900605,Brumadinho,3,2,0.0,1,19.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,648.0,193.0,89.0,104.0,455.0,254.0,201.0,0.0,Municipal,Rural,Não está em área diferenciada,Em atividade,Brumadinho
31223131,C EDUC MARIA MADALENA F PASS0S,310900605,Brumadinho,4,1,0.0,1,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,268.0,41.0,19.0,22.0,171.0,90.0,81.0,56.0,Privada,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31234371,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ILZA MARIA REZENDE SOUZA,310900605,Brumadinho,3,1,0.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,Municipal,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31234389,ESCOLA MUNICIPAL DONA MANOELA MOREIRA,310900605,Brumadinho,3,2,0.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,116.0,26.0,4.0,22.0,90.0,90.0,0.0,0.0,Municipal,Rural,Não está em área diferenciada,Em atividade,Brumadinho
31240435,ESCOLA MUNICIPAL BEATRIZ PAMPULINE,310900605,Brumadinho,3,1,0.0,1,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,270.0,0.0,0.0,0.0,270.0,0.0,270.0,0.0,Municipal,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31247391,ESCOLA MUNICIPAL MARIA DUTRA DE AGUIAR,310900605,Brumadinho,3,1,0.0,1,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,383.0,97.0,97.0,0.0,286.0,286.0,0.0,0.0,Municipal,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31259322,ESCOLA MUNICIPAL CLARICE GOMES MACHADO,310900605,Brumadinho,3,1,0.0,1,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Municipal,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31279277,ESCOLA SISTEMA PEDAGOGICO SEMEAR,310900605,Brumadinho,4,1,0.0,1,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,460.0,86.0,37.0,49.0,288.0,154.0,134.0,86.0,Privada,Urbana,Não está em área diferenciada,Em atividade,Brumadinho
31279561,C REC CULT RETIRO DAS PEDRAS,310900605,Brumadinho,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,Privada,Urbana,Não está em área diferenciada,Paralisada,Brumadinho
